,Feature importance
jobType_degree_major_industry,0.6765201619029485
yearsExperience,0.18571747789822687
milesFromMetropolis,0.12871159888750938
jobType_degree_industry,0.006257596490229358
jobType_major_industry,0.0015402642516521522
jobType_industry,0.0004898971465346378
companyId,0.0002752917321554883
degree_major_industry,0.00011607860004119839
jobType_degree_major,9.575451165748277e-05
jobType_major,5.803645665137345e-05
major_industry,5.6797561392616684e-05
degree_major,4.731116838893649e-05
degree_industry,3.9150609904989614e-05
jobType_degree,3.214083985538898e-05
major,1.4618080070993059e-05
industry,1.3324293230314651e-05
degree,9.761756682578016e-06
jobType,4.737812867725498e-06
